ItemList,DocumentNumber,SumberFile
"VHFUNC-NA1661, VHFUNC-NA1662, VHFUNC-NA1671, VHFUNC-NA1672, VHFUNC-NA1821-EH, VHFUNC-NA1822-EH, VHFUNC-NA1270-EH, VHFUNC-NA1280-EH, VHFUNC-NA1360-EH, VHFUNC-NA1370-EH","SOP/PROD/HOSE/SPS/24/10/08","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/09","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA1400,TA1530,TA1840","SOP/PROD/HOSE/SPS/24/10/09","Double Layer Digitalisasi [Parameter Setting]"
"","SOP/PROD/HOSE/SPS/24/10/10","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA1400,TA1530,TA1840","SOP/PROD/HOSE/SPS/24/10/10","Double Layer Digitalisasi [Parameter Setting]"
"VHFUNC-TA1400-EH, VHFUNC-TA1530-EH, VHFUNC-TA1840-EH","SOP/PROD/HOSE/SPS/24/10/10","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/11","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA1400,TA1530,TA1840","SOP/PROD/HOSE/SPS/24/10/11","Double Layer Digitalisasi [Parameter Setting]"
"VHFUNC-TA1710-EH, VHFUNC-TA1520-EH, VHFUNC-TA2510-EH, VHFUNC-TA2500-EH","SOP/PROD/HOSE/SPS/24/10/11","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/12","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"TA1710,TA1520,TA2510,TA2500","SOP/PROD/HOSE/SPS/24/10/12","Double Layer Digitalisasi [Parameter Setting]"
"","SOP/PROD/HOSE/SPS/24/10/13","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"NA2820,NA1560,NA2662,NA1690,NA1630","SOP/PROD/HOSE/SPS/24/10/13","Double Layer Digitalisasi [Parameter Setting]"
"VHFUNC-NA2820-EH, VHFUNC-NA1560-EH, VHFUNC-NA2662-EH, VHFUNC-NA1690-EH, VHFUNC-NA1630-EH","SOP/PROD/HOSE/SPS/24/10/13","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/14","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"VHFUNC-TA0590-EH","SOP/PROD/HOSE/SPS/24/10/14","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/15","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"VHFUNC-TA1860-EH","SOP/PROD/HOSE/SPS/24/10/15","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/16","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
"NA1600,NA1680,NA2780,NA1410","SOP/PROD/HOSE/SPS/24/10/16","Double Layer Digitalisasi [Parameter Setting]"
"NA1680,NA2780,NA1410,NA1600","SOP/PROD/HOSE/SPS/24/10/16","Double Layer Digitalisasi [Parameter Setting]"
"TA166B,NA1600,NA1680,NA2780,TA2990","SOP/PROD/HOSE/SPS/24/10/16","Double Layer [Parameter Setting]"
"VHFUNC-NA1600-EH, VHFUNC-NA1680-EH, VHFUNC-NA2780-EH, VHFUNC-NA1410-EH","SOP/PROD/HOSE/SPS/24/10/16","Double Layer Digitalisasi [Digitalisasi]"
"","SOP/PROD/HOSE/SPS/24/10/17","Double Layer Digitalisasi [Print]; Double Layer [Parameter Setting]; Double Layer [Print]"
